X,Y,Z,Name,description,timestamp,begin,end
-89.44478,14.38254,0,El Carmen,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057191"">10057191</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td>Copper</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Copper</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-89.04338,14.30504,0,Monte Verde Deposit,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057192"">10057192</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td>Copper</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Copper</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-89.43062,14.40643,0,Chaguite Deposits,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057193"">10057193</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td>Chalcocite, Copper</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Copper</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-89.46312,14.34143,0,La Esperanza Prospect,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057194"">10057194</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td>Anglesite, Galena</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Lead</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-89.46256,14.34143,0,San Isidro Montanita Prospect,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057195"">10057195</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td>Chalcopyrite, Galena, Pyrite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Lead, Copper</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-89.48617,14.33865,0,Unnamed San Isidro Copper Prospect,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057196"">10057196</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td>Copper</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Copper</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-89.43589,14.41115,0,El Tajado Mine,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057197"">10057197</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td>Calamine, Magnetite, Specularite, Sphalerite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Iron, Copper, Zinc</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-89.50006,14.3342,0,San Casimiro Mine,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057198"">10057198</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td>Chalcopyrite, Galena, Pyrite, Sphalerite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td>60: Skarn Zn-Pb</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Gold, Zinc, Lead, Silver</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-89.44923,14.36615,0,Occurrence At Quabrada Del Tigre,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057199"">10057199</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td>Galena, Pyrite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Lead</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-89.4445,14.3342,0,Occurrence At San Rafael,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057200"">10057200</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td>Pyrite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Sulfur-Pyrite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
