site_name,site_id,buffer_m,year,image_count,qa_flag,mean_ndvi,mean_ndmi,mean_ndbi,mean_ndti,mean_savi,mean_bsi,bare_pct,mining_soil_pct,non_mining_soil_pct,valid_px_pct
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,2013,31,ok,0.4557582816886073,,,,,,0.0,0.0,99.62017118556538,99.62017118556538
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,2014,30,ok,0.5224059332107238,,,,,,0.0,0.0,99.62017118556538,99.62017118556538
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,2015,30,ok,0.5753520398751828,,,,,,0.0,0.0,99.62017118556538,99.62017118556538
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,2016,31,ok,0.5292049395031582,,,,,,0.0,0.0,99.62017118556538,99.62017118556538
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,2017,30,ok,0.48908680933004206,,,,,,0.0,0.0,99.62017118556538,99.62017118556538
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,2018,30,ok,0.4358339430647924,,,,,,0.0,0.0,99.62017118556538,99.62017118556538
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,2019,30,ok,0.48559728764038007,,,,,,0.0,0.0,99.62017118556538,99.62017118556538
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,2020,29,ok,0.5266226937731043,,,,,,0.0,0.0,99.62017118556538,99.62017118556538
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,2021,50,ok,0.4947470117379727,,,,,,0.0,0.0,99.62017118556538,99.62017118556538
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,2022,57,ok,0.5509446233188409,,,,,,0.0,0.0,99.62017118556538,99.62017118556538
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,2023,47,ok,0.5712363874976676,,,,,,0.0,0.0,99.62017118556538,99.62017118556538
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,2024,41,ok,0.560531362496183,,,,,,0.0,0.0,99.62017118556538,99.62017118556538
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,2025,22,ok,0.6164157112285426,,,,,,0.02801323982056934,0.02801323982056934,99.5921579457448,99.62017118556538
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2013,31,ok,0.48364584655470494,,,,,,0.0,0.0,99.62324627767615,99.62324627767615
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2014,30,ok,0.5392331041168631,,,,,,0.0,0.0,99.62324627767615,99.62324627767615
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2015,30,ok,0.5973239976932944,,,,,,0.0,0.0,99.62324627767615,99.62324627767615
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2016,31,ok,0.5607288135851023,,,,,,0.0,0.0,99.62324627767615,99.62324627767615
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2017,30,ok,0.5245615754699997,,,,,,0.0,0.0,99.62324627767615,99.62324627767615
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2018,30,ok,0.46284656891582254,,,,,,0.0,0.0,99.62324627767615,99.62324627767615
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2019,30,ok,0.5139214194224452,,,,,,0.0,0.0,99.62324627767615,99.62324627767615
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2020,29,ok,0.5460864686657372,,,,,,0.0,0.0,99.62324627767615,99.62324627767615
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2021,50,ok,0.5185443458906414,,,,,,0.0,0.0,99.62324627767615,99.62324627767615
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2022,57,ok,0.5674609892235184,,,,,,0.0,0.0,99.62324627767615,99.62324627767615
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2023,47,ok,0.590990683404526,,,,,,0.0,0.0,99.62324627767615,99.62324627767615
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2024,41,ok,0.5867857371540226,,,,,,0.0,0.0,99.62324627767615,99.62324627767615
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2025,22,ok,0.6349842294307948,,,,,,0.03501793372116348,0.03501793372116348,99.58822834395498,99.62324627767615
